ipo_symbol,upstox_symbol,name,instrument_key,match_type
HBESD,HBESD,HB Estate Developers Limited,NSE_EQ|INE640B01021,exact
INA,INA,Insolation Energy Limited,NSE_EQ|INE0LGX01024,exact
INDPRUD,INDPRUD,Industrial & Prudential Investment Company Limited,NSE_EQ|INE620D01011,exact
INNOVISION,INNOVISION,Innovision Limited,NSE_EQ|INE0ADB01012,exact
INVPRECQ,INVPRECQ,Investment & Precision Castings Limited,NSE_EQ|INE155E01016,exact
IWP,IWP,The Indian Wood Products Company Limited,NSE_EQ|INE586E01020,exact
KAMAHOLD,KAMAHOLD,Kama Holdings Limited,NSE_EQ|INE411F01010,exact
KANCHI,KANCHI,Kanchi Karpooram Limited,NSE_EQ|INE081G01019,exact
KENNAMET,KENNAMET,Kennametal India Limited,NSE_EQ|INE717A01029,exact
KIRANVYPAR,KIRANVYPAR,Kiran Vyapar Limited,NSE_EQ|INE555P01013,exact
KIRLFER,KIRLFER,Kirloskar Ferrous Industries Limited,NSE_EQ|INE884B01025,exact
KLBRENG-B,KLBRENG-B,Kilburn Engineering Limited,NSE_EQ|INE338F01015,exact
KOTIC,KOTIC,Kothari Industrial Corporation Limited,NSE_EQ|INE972A01020,exact
KOTYARK,KOTYARK,Kotyark Industries Limited,NSE_EQ|INE0J0B01017,exact
KOVAI,KOVAI,Kovai Medical Center & Hospital Limited,NSE_EQ|INE177F01017,exact
KPL,KPL,Kwality Pharmaceuticals Limited,NSE_EQ|INE552U01010,exact
KWIL,KWIL,Kwality Wall's (India) Limited,NSE_EQ|INE2KCE01013,exact
LAHOTIOV,LAHOTIOV,Lahoti Overseas Limited,NSE_EQ|INE515C01023,exact
MADHAVIPL,MADHAVIPL,Madhav Infra Projects Limited,NSE_EQ|INE631R01026,exact
MAFATIND,MAFATIND,Mafatlal Industries Limited,NSE_EQ|INE270B01035,exact
MAJESAUT,MAJESAUT,Majestic Auto Limited,NSE_EQ|INE201B01022,exact
MARSONS,MARSONS,Marsons Limited,NSE_EQ|INE415B01044,exact
MCCHRLS-B,MCCHRLS-B,Mac Charles India Limited,NSE_EQ|INE435D01014,exact
MENNPIS,MENNPIS,Menon Pistons Limited,NSE_EQ|INE650G01029,exact
MERCANTILE,MERCANTILE,Mercantile Ventures Limited,NSE_EQ|INE689O01013,exact
METROGLOBL,METROGLOBL,Metroglobal Limited,NSE_EQ|INE085D01033,exact
MMWL,MMWL,Media Matrix Worldwide Limited,NSE_EQ|INE200D01020,exact
NATIONSTD,NATIONSTD,National Standard (India) Limited,NSE_EQ|INE166R01015,exact
NEAGI,NEAGI,Neelamalai Agro Industries Limited,NSE_EQ|INE605D01012,exact
NILE,NILE,Nile Limited,NSE_EQ|INE445D01013,exact
NIMBSPROJ,NIMBSPROJ,Nimbus Projects Limited,NSE_EQ|INE875B01015,exact
NIRLON,NIRLON,Nirlon Limited,NSE_EQ|INE910A01012,exact
NITTAGELA,NITTAGELA,Nitta Gelatin India Limited,NSE_EQ|INE265B01019,exact
NOVARTIND,NOVARTIND,Novartis India Limited,NSE_EQ|INE234A01025,exact
OMNI,OMNI,Omnitech Engineering Limited,NSE_EQ|INE0UH301010,exact
OMPOWER,OMPOWER,Om Power Transmission Limited,NSE_EQ|INE25E901019,exact
PIONRINV,PIONRINV,Pioneer Investcorp Limited,NSE_EQ|INE746D01014,exact
PML,PML,Paul Merchants Limited,NSE_EQ|INE291E01019,exact
PNGSREVA,PNGSREVA,PNGS Reva Diamond Jewellery Limited,NSE_EQ|INE1RDG01013,exact
POWERICA,POWERICA,Powerica Limited,NSE_EQ|INE921L01032,exact
PRADPME,PRADPME,Pradeep Metals Limited,NSE_EQ|INE770A01010,exact
PRAVEG,PRAVEG,Praveg Limited,NSE_EQ|INE722B01019,exact
PREMCO,PREMCO,Premco Global Limited,NSE_EQ|INE001E01012,exact
QUINT,QUINT,Quint Digital Limited,NSE_EQ|INE641R01017,exact
RAJPALAYAM,RAJPALAYAM,Rajapalayam Mills Limited,NSE_EQ|INE296E01026,exact
RMC,RMC,RMC Switchgears Limited,NSE_EQ|INE655V01019,exact
RRIL,RRIL,RRIL Limited,NSE_EQ|INE951M01037,exact
RSDFIN,RSDFIN,RSD Finance Limited,NSE_EQ|INE616F01022,exact
RSL,RSL,Rajputana Stainless Limited,NSE_EQ|INE313L01016,exact
SAHLIBHFI,SAHLIBHFI,Shalibhadra Finance Limited,NSE_EQ|INE861D01011,exact
SAIPARENT,SAIPARENT,Sai Parenterals Limited,NSE_EQ|INE0H9F01037,exact
SAPPL,SAPPL,Shree Ajit Pulp & Paper Limited,NSE_EQ|INE185C01017,exact
SAYAJIHOTL,SAYAJIHOTL,Sayaji Hotels Limited,NSE_EQ|INE318C01014,exact
SCANSTL,SCANSTL,Scan Steels Limited,NSE_EQ|INE099G01011,exact
SEDEMAC,SEDEMAC,SEDEMAC Mechatronics Limited,NSE_EQ|INE00XB01019,exact
SEIL,SEIL,Shanti Educational Initiatives Limited,NSE_EQ|INE440T01028,exact
SHADOWFAX,SHADOWFAX,Shadowfax Technologies Limited,NSE_EQ|INE12UN01015,exact
SHARDUL,SHARDUL,Shardul Securities Limited,NSE_EQ|INE037B01020,exact
SHBAJRG,SHBAJRG,Shri Bajrang Alliance Limited,NSE_EQ|INE402H01015,exact
SHINDL,SHINDL,Sharat Industries Limited,NSE_EQ|INE220Z01013,exact
SHRIKRISH,SHRIKRISH,Shri Krishna Devcon Limited,NSE_EQ|INE997I01012,exact
SICAGEN,SICAGEN,Sicagen India Limited,NSE_EQ|INE176J01011,exact
SIKA,SIKA,Sika Interplant Systems Limited,NSE_EQ|INE438E01032,exact
SINGERIND,SINGERIND,Singer India Limited,NSE_EQ|INE638A01035,exact
SONAL,SONAL,Sonal Mercantile Limited,NSE_EQ|INE321M01017,exact
SRTL,SRTL,Shree Ram Twistex Limited,NSE_EQ|INE19GK01015,exact
SURYALA,SURYALA,Suryalata Spinning Mills Limited,NSE_EQ|INE132C01027,exact
TAALTECH,TAALTECH,Taal Tech Limited,NSE_EQ|INE524T01011,exact
TAMBOLIIN,TAMBOLIIN,Tamboli Industries Limited,NSE_EQ|INE864J01012,exact
TCC,TCC,TCC Concept Limited,NSE_EQ|INE887D01016,exact
TECHNVISN,TECHNVISN,TechNVision Ventures Limited,NSE_EQ|INE314H01012,exact
THACKER,THACKER,Thacker & Company Limited,NSE_EQ|INE077P01034,exact
THAKDEV,THAKDEV,Thakkers Developers Limited,NSE_EQ|INE403F01017,exact
TIMEX,TIMEX,Timex Group India Limited,NSE_EQ|INE064A01026,exact
TRANSPEK,TRANSPEK,Transpek Industry Limited,NSE_EQ|INE687A01016,exact
ULTRAMAR,ULTRAMAR,Ultramarine & Pigments Limited,NSE_EQ|INE405A01021,exact
VELJAN,VELJAN,Veljan Denison Limited,NSE_EQ|INE232E01013,exact
VITAL,VITAL,Vital Chemtech Limited,NSE_EQ|INE0L4K01016,exact
WELSPLSOL,WELSPLSOL,Welspun Specialty Solutions Limited,NSE_EQ|INE731F01037,exact
WIMPLAST,WIMPLAST,Wim Plast Limited,NSE_EQ|INE015B01018,exact
WPIL,WPIL,WPIL Limited,NSE_EQ|INE765D01022,exact
ZFSTEERING,ZFSTEERING,ZF Steering Gear (India) Limited,NSE_EQ|INE116C01012,exact
ZSARACOM,ZSARACOM,Saraswati Commercial India Limited,NSE_EQ|INE967G01019,exact
